reviewId,anonymized_user,score,content,at
eff70fbd-9e41-4571-abc8-55ce4190e75b,사용자2632,5,중고차도 믿고구매할수있는 정보가필요했는데 케이카 직영중고차덕분에 중고차고민덜었습니다 앞으로도 좋은서비스기대할께요,2021-10-06 11:33:34
fe24da98-3c8b-498b-a6e6-2e163883291a,사용자2637,5,사용하기 편리하고 좋아요,2021-10-06 11:28:05
5d4f0b23-1950-429c-878c-99cc93390d69,사용자2655,5,검색기능이 편리하고 인터페이스가 깔끔해 마음에 듭니다,2021-09-26 16:49:48
aba7d38a-37bb-41a0-afad-f4a0927f0355,사용자2659,4,무난한 편입니다,2021-09-15 11:25:34
0261ddf9-fcc0-4ba1-b24d-a83a2e6a5abb,사용자2667,5,첫운전을 하기위해중고차가필요했는데 나에게딱인 차를검색해서 내집앞으로 가져다주니정말편하게이용할수있었어요 나에게 꼭필요한 앱이될것같아용,2021-08-29 12:48:55
f4671323-8873-4df0-ae93-fb505507a070,사용자2676,5,좋습니다 엔카보다 상세하게 차량설명도 볼수있고 검색도 가능합니다,2021-08-18 17:08:54
b2458ad8-2cad-4825-83d7-ff2d2c63ec08,사용자2698,1,비싸도 너무비쌈,2021-08-16 12:58:29
2d5a0c3c-ce4e-4f06-b641-49c78f24f0f6,사용자2699,5,전국에있는 모든중고차를 핸드폰하나로 자세히알아보니 너무편하고좋내요,2021-08-15 12:50:50
d2827b3d-7d55-47c2-94e6-c4f67af9562a,사용자2740,3,앱깔라는 판업좀 줄여주세요,2021-06-25 23:49:13
f455294b-ab0a-4214-8889-53044702a9ab,사용자2773,1,다른중고차마켓에비해서 월등히비쌈 여기보다 차비싼곳있으면 제차드립니다 여기중고차사이트중 제일비싸네요,2021-06-06 04:43:20
e94ce300-819d-46fe-a373-3e820ca0e6cc,사용자2796,5,다양한차종의중고가격을알수있어편리해요,2021-05-17 22:51:50
f25a9711-6756-4810-9825-c1a5fdbea6f3,사용자2803,1,앱실행 렉있을땐 너무느림,2021-05-16 20:55:44
472c35c4-2131-425f-9f39-8599d1d6afaa,사용자2835,3,다좋은데 어플이 무거운건가 검색하거나 뭐버려고누르기만하면 로딩시간이긴건지 진행이안됩니더 예전에쓸땐안그랬는데 촤근어플이많이이상해진거같습니다 버벅거림도심하고 검색하려고클릭해도 바로안뜨고 최소몇초거나 아예진행안될때도있습니다,2021-05-05 22:35:51
6c34b541-777d-478b-8215-92c7a80ef1b1,사용자2844,5,사용이 편리함,2021-05-02 16:54:03
33c72519-2db3-42ec-b027-a33a23e25d7e,사용자2893,5,다른앱보다 사용하기 편해요,2021-04-26 16:20:40
da2eff91-3c6d-40b9-8e36-b3a0055c4229,사용자2909,5,편리해서 좋아요,2021-04-14 09:26:09
a4e54858-3cf9-4616-9ea7-4a190318fb6a,사용자2935,5,중고차 사기당하기쉽상이라 조심스러운데 잘되어있어서 믿음이 가네요,2021-04-08 10:52:14
43b3f40b-d4e8-493b-acdc-e69b266c7cee,사용자2936,5,ui가 보기편하고 사용이 편합니다,2021-04-08 10:50:11
dbaa8f56-16b5-478a-9d51-dcd437f8a671,사용자2938,5,어플이 렉걸리는것도없고 중고차 어플중엔 탑인것같습니다,2021-04-08 10:49:06
63df70a1-5f8c-4104-af92-35af1c8fe9f2,사용자2947,1,왜이래느리노,2021-04-03 18:58:15
d842234a-c4af-47a9-9cad-b23ff3894a41,사용자3001,5,자동차에대한 자세한설명 너무친절한앱입니다 도움많이됩니다최고같아요 항상번창하세요 감사합니다,2021-03-19 15:24:53
40954e59-f4bc-4e49-9b89-8c0075d47acc,사용자3022,5,사용하기 편해요 중고차 정보도 믿을수있고 감사합니다,2021-03-19 11:41:03
e6b7e7a8-d7d2-44d9-97a4-4cd0330a2648,사용자3065,5,아주좋은 앱입니다 여러가지로 유익하내요,2021-03-19 11:19:43
70eb0f99-4e21-4d25-ac47-0d0c39692931,사용자3067,5,중고차는 신뢰인거같습니다ㄴ 믿을수있는 kcar로 편리하게 중고차를 선택할수있어요,2021-03-19 11:19:02
cc73cdd7-0049-4f94-ae39-88c3d50b512f,사용자3074,5,kcar니까 믿으니까 안전하니까,2021-03-19 11:13:18
30cd4b4f-c383-48b9-8ee4-1f3b3f069c49,사용자3096,5,좋습니다보기쉽게잘되있어요,2021-03-07 23:56:21
0f432b74-1aff-4c69-bf82-d3038cd52e9f,사용자3138,5,최고최고 정보짱,2021-03-06 07:07:25
e0863437-905c-4efb-9df0-2243ba933cb9,사용자3196,5,이앱은 설치해보니까 편리한것같습니다,2021-03-05 21:32:59
03518195-be62-4f5b-89e4-71df2699255c,사용자3216,5,중고차살때유용한앱입니다,2021-03-03 11:06:50
699ea13d-ec51-4766-b9f7-848a7160ab43,사용자3225,5,좋은정보가 있네요,2021-03-03 10:54:22
61889424-5237-4e9d-9b9b-d85e883a1324,사용자3236,5,중고차 거래를 손쉽게 알아볼수 있어서 kcar 직영차 이용해야죠 편리해서 좋아요,2021-02-28 17:05:25
a7baae28-7de8-423c-98ee-fe9e8026781d,사용자3328,5,이용하기 편해서 좋네요,2021-01-22 10:16:35
5e558f60-f5ce-4256-80e3-5cc3fe911732,사용자3338,5,상세히 잘해줌,2021-01-15 16:12:56
bd2a874f-9f5f-4de2-952d-949b797fda5d,사용자3347,5,편리합니당 한눈에 가격비교가 좋아여,2021-01-07 00:05:44
3f74ad18-522c-44a1-a553-a4742b01202b,사용자3350,3,사용하기 편리해요,2021-01-06 16:01:27
b95cbb51-a692-4337-93fc-e3577d794a55,사용자3353,5,사용하기 편리하고 깔끔해서 좋아요,2021-01-05 22:46:26
2238f4c5-c43c-4488-9008-35076c48374c,사용자3402,1,자꾸멈춤 느려서 보지도못함,2020-10-20 22:23:50
d83d26a5-a4f0-48ef-939a-ad7cea2c5643,사용자3419,1,시간좀지낫다하면 렉걸리고 어플관리를 도데체 어떻게하시는건가요,2020-10-05 17:37:22
7fa09251-b37a-4db8-a424-9dc6a383b89d,사용자3438,1,그저그런사이트,2020-09-21 08:30:06
8742b131-d34c-43d4-9985-fdbb93e23081,사용자3450,5,성능평가서 100 조작가능 합니다,2020-09-12 22:54:32
b4bcc358-ed09-4bec-9ef2-cbbbc200d61a,사용자3461,5,차량구매나 중고렌트의 정보가 보기편하게 정리되어있고 다양한 할인프로모션까지 준비되어있어 보기좋네요,2020-09-08 16:26:46
